Normalized Field,Category,Subcategory,Data Type,Description,Used By Count,Variation Count,Entity Sources,Example Raw Fields
exports,Other,uncategorized,string,Other data field,1,1,unknown,exports
commerce.abandonedCartEnabled,E-commerce,abandonedCartEnabled,boolean,Whether abandoned cart recovery is enabled,1,1,wsbvnext,ols.features_enabled.abandoned_cart
links.websitePreview,Navigation Links,websitePreview,string,Navigation Links data field,1,1,wsbvnext,links.preview
website.gmb.photos.counts,Website Configuration,gmb,string,Website Configuration data field,1,1,mktgasst,features.gmb.photos.counts
links.gmbLaunchPhotos,Navigation Links,gmbLaunchPhotos,string,Navigation Links data field,1,1,mktgasst,links.gmbLaunchPhotos
links.fbPageCreate,Navigation Links,fbPageCreate,string,Navigation Links data field,1,1,mktgasst,links.fbPageCreate
entitlementData.current,Other,uncategorized,string,Other data field,1,1,unknown,wsbvnext.entitlementData.current
features.instagram.isConnected,Other,uncategorized,boolean,Other data field,1,1,unknown,mktgasst.features.instagram.isConnected
social.googleBusinessLocation,Marketing & Social,social,string,Marketing & Social data field,1,1,mktgasst,features.gmb.hasGMBLocation
commerce.featuredProducts,E-commerce,featuredProducts,string,E-commerce data field,1,1,mktgasst,ols.featured_products_with_images
links.fbAdsDirect,Navigation Links,fbAdsDirect,string,Navigation Links data field,1,1,mktgasst,links.fbAdsDirect
o365.id,Other,uncategorized,identifier,Other data field,1,1,unknown,o365.id
o365.shopper.shopperId,Other,uncategorized,identifier,Other data field,1,1,unknown,o365.shopper.shopperId
o365.states.activated,Other,uncategorized,string,Other data field,1,1,unknown,o365.states.activated
features.id,Other,uncategorized,identifier,Other data field,1,1,unknown,wsbvnext.features.id
features.websiteType,Other,uncategorized,enum,Other data field,1,1,unknown,wsbvnext.features.websiteType
vnextAccount.billing.commitment,Other,uncategorized,string,Other data field,1,1,unknown,wsbvnext.vnextAccount.billing.commitment
vnextAccount.shopperId,Other,uncategorized,identifier,Other data field,1,1,unknown,wsbvnext.vnextAccount.shopperId
links.olsAddPayment,Navigation Links,olsAddPayment,string,Navigation Links data field,1,1,wsbvnext,links.olsAddPayment
commerce.paymentMethods,E-commerce,paymentMethods,string,Available payment methods,1,1,wsbvnext,ols.payment_methods.available
